Location, Size, Price
365 Chamberlain Ave Resevoir  Bridgeport  CT,1447 sqft,$290000
225 Alpine St Bridgeport  CT,1435 sqft,$285000
1100 Reservoir Ave Resevoir  Bridgeport  CT,1680 sqft,$330000
35 Jillijam Pl North End  Bridgeport  CT,1532 sqft,$349900
156 Red Oak Rd Resevoir  Bridgeport  CT,2160 sqft,$365000
95 Austin St South End  Bridgeport  CT,1284 sqft,$249900
25 Lakeside Dr North End  Bridgeport  CT,1528 sqft,$265000
70 Hawthorne St Bridgeport  CT,3984 sqft,$399900
2612 North Ave #D7 Brooklawn/ St. Vincent's  Bridgeport  CT,1410 sqft,$245000
577 Birmingham St North End  Bridgeport  CT,1480 sqft,$369900
100 Ellsworth St Black Rock  Bridgeport  CT,2692 sqft,$595000
34 Seaver Cir North End  Bridgeport  CT,1555 sqft,$309900
101 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3585 sqft,$529900
285 Dexter Dr North End  Bridgeport  CT,1144 sqft,$219500
367 Bishop Ave East End  Bridgeport  CT,2880 sqft,$399000
295 N Bishop Ave #12 Mill Hill  Bridgeport  CT,738 sqft,$59900
176 King St Black Rock  Bridgeport  CT,1080 sqft,$289900
564 Midland St Black Rock  Bridgeport  CT,4828 sqft,$519000
85 Albemarle St North End  Bridgeport  CT,2286 sqft,$345000
2675 Park Ave #7 Brooklawn/ St. Vincent's  Bridgeport  CT,2289 sqft,$269000
1791 E Main St Bridgeport  CT,1196 sqft,$159000
2768 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$129900
271 Sailors Ln Black Rock  Bridgeport  CT,4569 sqft,$899500
277 East Ave Mill Hill  Bridgeport  CT,1227 sqft,$164000
141 Union Ave #10 East End  Bridgeport  CT,1100 sqft,$65000
243 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2240 sqft,$369500
3200 Park Ave #10F1 North End  Bridgeport  CT,2355 sqft,$195000
315 Granfield Ave #12A Mill Hill  Bridgeport  CT,401 sqft,$29900
250 N Bishop Ave #25 Mill Hill  Bridgeport  CT,638 sqft,$33250
281 Lincoln Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3197 sqft,$290000
